X;GAT;SPECIES_NUM;GAT_NAZWA;LATIN_NAME;SHRUBTREE_FL;BOT_SPECIES;BOT_GENUS;FOMATREE_GRP;ACT_TREE_GRP;BOT_NAME;WOOD_KIND_FL;TAX_TREE_GRP;BUL_SPECIES_NR;GRP_H;GRP_V;WORTH_GRP;AVG_CUT_AGE;AGE1;AGE2;NR_CYKLU;GRP_P_BDL;GRP_TH;GRP_P;GRP_V_TAB
425;LIG.VU.PY;1290103;ligustr pospolity;Ligustrum vulgare Pyramidale;K;ligustr;odm.stożkowa;;;NA;L;NA;683;;;;NA;NA;NA;4;;;;
426;LIL;1280100;lilak pospolity;Syringa vulgaris;K;lilak;;;;NA;L;NA;684;;;;NA;NA;NA;4;;;;
427;LIL.A;1280800;lilak amurski;Syringa amurensis;K;lilak;;;;NA;L;NA;685;;;;NA;NA;NA;4;;;;
428;LIL.C;1280400;lilak chiński;Syringa chinensis;K;lilak;;;;NA;L;NA;686;;;;NA;NA;NA;4;;;;
429;LIL.H;1280200;lilak hiacyntowy;Syringa hiacithiflora;K;lilak;;;;NA;L;NA;687;;;;NA;NA;NA;4;;;;
430;LIL.J;1280500;lilak Josiki;Syringa josikaea;K;lilak;;;;NA;L;NA;688;;;;NA;NA;NA;4;;;;
431;LIL.M;1280900;lilak Meyera;Syringa meyeri;K;lilak;;;;NA;L;NA;689;;;;NA;NA;NA;4;;;;
432;LIL.P;1280300;lilak perski;Syringa persica;K;lilak;;;;NA;L;NA;690;;;;NA;NA;NA;4;;;;
433;LIL.PR;1280700;lilak Prestony;Syringa prestoniae;K;lilak;;;;NA;L;NA;691;;;;NA;NA;NA;4;;;;
434;LIL.W;1281000;lilak Wolfa;Syringa wolfii;K;lilak;;;;NA;L;NA;692;;;;NA;NA;NA;4;;;;
435;LIL.Z;1280600;lilak zwisły;Syringa reflexa;K;lilak;;;;NA;L;NA;693;;;;NA;NA;NA;4;;;;
436;LON.IN.SE;1391101;suchodrzew skrytoowocowy;Lonicera involucrata serotina;K;suchodrzew;odm.późna;;;NA;L;NA;694;;;;NA;NA;NA;4;;;;
437;LON.SP.AL;1391201;suchodrzew ciernisty;Lonicera spinosa albertii;K;suchodrzew;odm.Alberta;;;NA;L;NA;695;;;;NA;NA;NA;4;;;;
438;LP;400100;lipa drobnolistna;Tilia cordata;D;lipa;;OS;BK;NA;L;NA;95;LP;OS;OL;80;10;15;4;LP;LP;BK;BK
439;LP.A;400600;lipa amerykańska;Tilia americana;D;lipa;;OS;BK;NA;L;NA;696;LP;OS;;NA;10;15;4;LP;LP;BK;BK
440;LP.D;400900;lipa dlugoogonkowa;Tilia petiolaris;D;lipa;;OS;BK;NA;L;NA;697;LP;OS;;NA;10;15;4;LP;LP;BK;BK
441;LP.G;401000;lipa gwiaździsta;Tilia stellata;D;lipa;;OS;BK;NA;L;NA;698;LP;OS;;NA;10;15;4;LP;LP;BK;BK
442;LP.H;400300;lipa holenderska;Tilia europaea;D;lipa;;OS;BK;NA;L;NA;699;LP;OS;;NA;10;15;4;LP;LP;BK;BK
443;LP.J;400400;lipa japońska;Tilia japonica;D;lipa;;OS;BK;NA;L;NA;700;LP;OS;;NA;10;15;4;LP;LP;BK;BK
444;LP.K;400500;lipa krymska;Tilia euchlora;D;lipa;;OS;BK;NA;L;NA;701;LP;OS;;NA;10;15;4;LP;LP;BK;BK
445;LP.M;401100;lipa Moltkego;Tilia moltkei;D;lipa;;OS;BK;NA;L;NA;702;LP;OS;;NA;10;15;4;LP;LP;BK;BK
446;LP.NO;401200;lipa nieokreślona;Tilia species;D;lipa;;OS;BK;NA;L;NA;703;LP;OS;;NA;10;15;4;LP;LP;BK;BK
447;LP.S;400200;lipa szerokolistna;Tilia platyphyllos;D;lipa;;OS;BK;NA;L;NA;109;LP;OS;OL;80;10;15;4;LP;LP;BK;BK
448;LP.SR;400700;lipa srebrzysta;Tilia tomentosa;D;lipa;;OS;BK;NA;L;NA;704;LP;OS;;NA;10;15;4;LP;LP;BK;BK
449;LP.W;400800;lipa warszawska;Tilia Varsaviensis;D;lipa;;OS;BK;NA;L;NA;705;LP;OS;;NA;10;15;4;LP;LP;BK;BK
450;LSZ;760100;leszczyna pospolita;Corylus avellana;K;leszczyna;;;;NA;L;NA;38;;;;NA;NA;NA;4;;;;
451;LSZ.P;760200;leszczyna południowa;Corylus maxima;K;leszczyna;;;;NA;L;NA;706;;;;NA;NA;NA;4;;;;
452;LSZ.T;760300;leszczyna turecka;Corylus colurna;K;leszczyna;;;;NA;L;NA;707;;;;NA;NA;NA;4;;;;
453;LWŚ.W;852000;laurowiśnia wschodnia;Prunus laurocerasus;K;śliwa;;;;NA;L;NA;708;;;;NA;NA;NA;4;;;;
454;MAG.D;530600;magnolia drzewiasta;Magnolia acuminata;D;magnolia;;;;NA;L;NA;709;;;;NA;10;15;4;;;;
455;MAG.G;530500;magnolia gwiaździsta;Magnolia stellata;K;magnolia;;;;NA;L;NA;710;;;;NA;NA;NA;4;;;;
456;MAG.J;530400;magnolia japońska;Magnolia kobus;K;magnolia;;;;NA;L;NA;711;;;;NA;NA;NA;4;;;;
457;MAG.K;530800;magnolia kobus;Magnolia kobus;K;magnolia;odm. Susan;;;NA;L;NA;712;;;;NA;NA;NA;4;;;;
458;MAG.N;530200;magnolia naga;Magnolia denudata;D;magnolia;;;;NA;L;NA;713;;;;NA;10;15;4;;;;
459;MAG.P;530300;magnolia purpurowa;Magnolia liliflora;K;magnolia;;;;NA;L;NA;714;;;;NA;NA;NA;4;;;;
460;MAG.PA;530700;magnolia parasolowata;Magnolia tripetala;D;magnolia;;;;NA;L;NA;715;;;;NA;10;15;4;;;;
461;MAG.S;530100;magnolia Soulange'a;Magnolia soulangiana;K;magnolia;;;;NA;L;NA;716;;;;NA;NA;NA;4;;;;
462;MAG.SO.AL;530103;magnolia Soulange'a;Magnolia soulangiana Alexandr.;K;magnolia;"odm.""""Alexandrina""""";;;NA;L;NA;717;;;;NA;NA;NA;4;;;;
463;MAG.SO.AM;530101;magnolia Soulange'a;Magnolia soulangiana Amabilis;K;magnolia;"odm.""""Amabilis""""";;;NA;L;NA;718;;;;NA;NA;NA;4;;;;
464;MAG.SO.LE;530104;magnolia Soulange'a;Magnolia soulangiana Lennei;K;magnolia;"odm.""""Lennei""""";;;NA;L;NA;719;;;;NA;NA;NA;4;;;;
465;MAG.SO.NI;530301;magnolia purpurowa;Magnolia liliflora Nigra;K;magnolia;"odm.""""Nigra""""";;;NA;L;NA;720;;;;NA;NA;NA;4;;;;
466;MAG.SO.SP;530102;magnolia Soulange'a;Magnolia soulangiana Speciosa;K;magnolia;"odm.""""Speciosa""""";;;NA;L;NA;721;;;;NA;NA;NA;4;;;;
467;MAH;500100;mahonia pospolita;Mahonia aquifolium;K;mahonia;;;;NA;L;NA;722;;;;NA;NA;NA;4;;;;
468;MAK.P;470100;żołtnica pomarańczowa;Maclura pomifera;D;maklura;;;;NA;L;NA;723;;;;NA;10;20;4;;;;
469;MAL.PU.PA;690201;jabłoń niska odm.rajska;Malus pumila paradisiaca;D;jabłoń;;BRZ;BRZ;NA;L;NA;724;BRZ;BRZ;;NA;15;25;4;BRZ;BRZ;BRZ;BRZ
470;MD;20100;modrzew europejski;Larix decidua;D;modrzew;;SO;MD;NA;I;NA;8;SO;SO;SO;100;10;15;4;MD;MD;MD;MD
471;MD.A;20700;modrzew amerykański;Larix laricina;D;modrzew;;SO;MD;NA;I;NA;725;SO;SO;;NA;10;15;4;MD;MD;MD;MD
472;MD.C;21100;modrzew chiński;Larix potaninii;D;modrzew;;SO;MD;NA;I;NA;726;SO;SO;;NA;10;15;4;MD;MD;MD;MD
473;MD.CZ;20200;modrzew Czekanowskiego;Larix czekanowskii;D;modrzew;;SO;MD;NA;I;NA;727;SO;SO;;NA;10;15;4;MD;MD;MD;MD
474;MD.D;20400;modrzew daurski;Larix gmelinii;D;modrzew;;SO;MD;NA;I;NA;728;SO;SO;;NA;10;15;4;MD;MD;MD;MD
475;MD.E;20300;modrzew eurojapoński;Larix eurolepis;D;modrzew;;SO;MD;NA;I;NA;729;SO;SO;;NA;10;15;4;MD;MD;MD;MD
476;MD.H;20500;modrzew himalajski;Larix griffithiana;D;modrzew;;SO;MD;NA;I;NA;730;SO;SO;;NA;10;15;4;MD;MD;MD;MD
477;MD.J;20600;modrzew japoński;Larix kaempferi;D;modrzew;;SO;MD;NA;I;NA;731;SO;SO;;NA;10;15;4;MD;MD;MD;MD
478;MD.K;20106;modrzew europejski;Larix decidua;D;modrzew;odm.Kórnik;SO;MD;NA;I;NA;732;SO;SO;;NA;10;15;4;MD;MD;MD;MD
479;MD.M;20800;modrzew Marschlinsa;Larix marschlinsii;D;modrzew;;SO;MD;NA;I;NA;733;SO;SO;;NA;10;15;4;MD;MD;MD;MD
480;MD.NO;21300;modrzew  nieokreślony;Larix species;D;modrzew;;SO;MD;NA;I;NA;734;SO;SO;;NA;10;15;4;MD;MD;MD;MD
481;MD.P;20104;modrzew europejski;Larix decidua polonica;D;modrzew;odm.polska;SO;MD;NA;I;NA;735;SO;SO;;NA;10;15;4;MD;MD;MD;MD
482;MD.S;21200;modrzew syberyjski;Larix sibirica;D;modrzew;;SO;MD;NA;I;NA;736;SO;SO;;NA;10;15;4;MD;MD;MD;MD
483;MD.Z;21000;modrzew zwisły;Larix pendula;D;modrzew;;SO;MD;NA;I;NA;737;SO;SO;;NA;10;15;4;MD;MD;MD;MD
484;MD.ZD;20900;modrzew zachodni;Larix occidentalis;D;modrzew;;SO;MD;NA;I;NA;738;SO;SO;;NA;10;15;4;MD;MD;MD;MD
485;MDK.C;170100;modrzewnik chiński;Pseudolarix kaempferi;D;modrzewnik;;;;NA;I;NA;739;;;;NA;10;15;4;;MD;;
486;MIG;850800;migdałowiec pospolity;Prunus amygdalus;D;śliwa;;;;NA;L;NA;740;;;;NA;20;30;4;;;;
487;MIG.K;851000;migdałowiec karłowy;Prunus tenella;D;śliwa;;;;NA;L;NA;741;;;;NA;20;30;4;;;;
488;MIG.T;850900;migdałowiec trojklapowy;Prunus triloba;D;śliwa;;;;NA;L;NA;742;;;;NA;20;30;4;;;;
489;MIŁ.D;160100;miłorząb dwuklapowy;Ginkgo biloba;D;miłorząb;;;;NA;I;NA;743;;;;NA;20;30;4;;;;
490;MIŁ.D.F;160101;miłorząb dwuklapowy;Ginkgo biloba;D;miłorząb;odm. Fastigiata;;;NA;I;NA;744;;;;NA;20;30;4;;;;
491;MIŁ.D.P;160102;miłorząb dwuklapowy;Ginkgo biloba;D;miłorząb;odm. Pendula;;;NA;I;NA;745;;;;NA;20;30;4;;;;
492;MOR.AL.PE;460101;morwa biała;Morus alba Pendula;D;morwa;"odm.""""Pendula""""";BRZ;BRZ;NA;L;NA;746;BRZ;BRZ;;NA;10;15;4;BRZ;BRZ;BRZ;BRZ
493;MRL;850600;morela pospolita;Prunus armeniaca;D;śliwa;;;;NA;L;NA;747;;;;NA;10;15;4;;;;
494;MS.C;62000;metasekwoja chińska;Metasequoia glyptostroboides;D;metasekwoja;;;;NA;I;NA;748;;;;NA;20;30;4;;;;
495;MSZ.P;910100;moszeniec południowy;Colutea arborescens;K;moszeniec;;;;NA;L;NA;749;;;;NA;NA;NA;4;;;;
496;MW;460100;morwa biała;Morus alba;D;morwa;;BRZ;BRZ;NA;L;NA;96;BRZ;BRZ;OS;50;10;15;4;BRZ;BRZ;BRZ;BRZ
497;OCZ.J;600300;oczar japonski;Hamamelis japonica;K;oczar;;;;NA;L;NA;750;;;;NA;NA;NA;4;;;;
498;OCZ.O;600200;oczar omszony;Hamamelis mollis;K;oczar;;;;NA;L;NA;751;;;;NA;NA;NA;4;;;;
499;OCZ.W;600100;oczar wirginijski;Hamamelis virginiana;K;oczar;;;;NA;L;NA;752;;;;NA;NA;NA;4;;;;
500;OGN.S;1410100;ognik szkarłatny;Pyracantha coccinea;K;ognik;;;;NA;L;NA;753;;;;NA;NA;NA;4;;;;
501;OKŁ.B;810100;okółkowiec biały;Rhodotypos scandens;K;okółkowiec;;;;NA;L;NA;754;;;;NA;NA;NA;4;;;;
502;OL;370100;olsza czarna;Alnus glutinosa;D;olsza;;OL;OL;NA;L;NA;71;OL;OL;OL;80;5;10;4;OL;OL;OL;OL
503;OL.S;370200;olsza szara;Alnus incana;D;olsza;;OL;OL;NA;L;NA;72;OL;OL;OS;40;5;10;4;OL;OL;OL;OL
504;OL.Z;370300;olsza zielona;Alnus viridis;D;olsza;;OL;OL;NA;L;NA;111;OL;OL;OS;40;5;10;4;OL;OL;OL;OL
505;OLW.B;1190300;oliwnik baldaszkowy;Elaeagnus umbellata;K;oliwnik;;;;NA;L;NA;755;;;;NA;NA;NA;4;;;;
506;OLW.S;1190200;oliwnik srebrzysty;Elaeagnus commutata;K;oliwnik;;;;NA;L;NA;756;;;;NA;NA;NA;4;;;;
507;OLW.W;1190100;oliwnik wąskolistny;Elaeagnus angustifolia;K;oliwnik;;;;NA;L;NA;757;;;;NA;NA;NA;4;;;;
508;ORZ.C;430200;orzech czarny;Juglans nigra;D;orzech;;BRZ;BRZ;NA;L;NA;80;BRZ;BRZ;OS;50;15;25;4;BRZ;BRZ;BRZ;BRZ
509;ORZ.S;430300;orzech szary;Juglans cinerea;D;orzech;;BRZ;BRZ;NA;L;NA;758;BRZ;BRZ;;NA;15;25;4;BRZ;BRZ;BRZ;BRZ
510;ORZ.SE;430400;orzech sercowaty;Juglans cordiformis;D;orzech;;BRZ;BRZ;NA;L;NA;759;BRZ;BRZ;;NA;15;25;4;BRZ;BRZ;BRZ;BRZ
511;ORZ.W;430100;orzech włoski;Juglans regia;D;orzech;;BRZ;BRZ;NA;L;NA;760;BRZ;BRZ;;NA;15;25;4;BRZ;BRZ;BRZ;BRZ
512;OS;380200;topola osika;Populus tremula;D;topola;;OS;OS;NA;L;NA;91;BRZ;OS;OS;50;0;10;4;OS;OS;BRZ;OS
513;OST.K;1060100;ostrokrzew kolczasty;Ilex aquifolium;K;ostrokrzew;;;;NA;L;NA;761;;;;NA;NA;NA;4;;;;OS
514;OSZ.G;440100;orzesznik gorzki;Carya cordiformis;D;orzesznik;;BRZ;BRZ;NA;L;NA;112;BRZ;BRZ;OS;50;15;25;4;BRZ;BRZ;BRZ;OS
515;OSZ.O;440400;orzesznik owłosiony;Carya tomentosa;D;orzesznik;;;;NA;L;NA;762;;;;NA;15;25;4;;;;OS
516;OSZ.P;440200;orzesznik pięciolistkowy;Carya ovata;D;orzesznik;;BRZ;BRZ;NA;L;NA;113;BRZ;BRZ;OS;50;15;25;4;BRZ;BRZ;BRZ;OS
517;OSZ.S;440300;orzesznik siedmiolistkowy;Carya laciniosa;D;orzesznik;;;;NA;L;NA;763;;;;NA;15;25;4;;;;OS
518;PAR.T;990100;parczelina trójlistkowa;Ptelea trifoliata;K;parczelina;;;;NA;L;NA;764;;;;NA;NA;NA;4;;;;
519;PCK.K;820100;pięciornik krzewiasty;Potentilla fruticosa;K;pięciornik;;;;NA;L;NA;765;;;;NA;NA;NA;4;;;;
520;PCY.BO.BL;550501;jaśminowiec wierzchotkowy;Philadelphus cymosus Bouq.Bl.;K;jaśminowiec;"odm.""""Bouquet Blanc""""";;;NA;L;NA;766;;;;NA;NA;NA;4;;;;
521;PER.P;1050100;perukowiec podolski;Cotinus coggygria;K;perukowiec;;;;NA;L;NA;767;;;;NA;NA;NA;4;;;;
522;PGC.J;720100;pigwowiec japoński;Chaenomeles japonica;K;pigwowiec;;;;NA;L;NA;768;;;;NA;NA;NA;4;;;;
523;PGC.O;720200;pigwowiec okazały;Chaenomeles speciosa;K;pigwowiec;;;;NA;L;NA;769;;;;NA;NA;NA;4;;;;
524;PGC.P;720300;pigwowiec pośredni;Chaenomeles superba;K;pigwowiec;;;;NA;L;NA;770;;;;NA;NA;NA;4;;;;
525;PGW;710100;pigwa pospolita;Cydonia oblonga;K;pigwa;;;;NA;L;NA;771;;;;NA;NA;NA;4;;;;
526;PHI.CA.AU;550201;jaśminowiec kaukaski;Philadelphus caucasicus Aureus;K;jaśminowiec;"odm.""""Aureus""""";;;NA;L;NA;772;;;;NA;NA;NA;4;;;;
527;PHI.LE.ER;550401;jaśminowiec Lemoine'a;Philadelphus lemoinei Erectus;K;jaśminowiec;"odm.""""Erectus""""";;;NA;L;NA;773;;;;NA;NA;NA;4;;;;
528;PHI.PO.NO;550601;jaśminowiec wielkokwiatowy;Philadelphus polyanthus Norma;K;jaśminowiec;"odm.""""Norma""""";;;NA;L;NA;774;;;;NA;NA;NA;4;;;;
529;PHI.VI.VI;550701;jaśminowiec panieński;Philadelphus virginalis Virgi.;K;jaśminowiec;"odm.""""Virginal""""";;;NA;L;NA;775;;;;NA;NA;NA;4;;;;
530;PHY.OP.LU;650101;tawułowiec kalinolistny;Physocarpus opulifolius Lateus;K;tawułowiec;odm.żółta;;;NA;L;NA;776;;;;NA;NA;NA;4;;;;
531;PIC.AB.AG;30103;świerk pospolity;"Picea abies """"Argenteospica""""";D;świerk;"odm.""""Argenteospica""""";ŚW;ŚW;NA;I;NA;777;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
532;PIC.AB.AR;30102;świerk pospolity;"Picea abies """"Archangelica""""";D;świerk;"odm.""""Archangelica""""";ŚW;ŚW;NA;I;NA;778;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
533;PIC.AB.AU;30104;świerk pospolity;"Picea abies """"Aurea""""";D;świerk;"odm.""""Aurea""""";ŚW;ŚW;NA;I;NA;779;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
534;PIC.AB.BA;30105;świerk pospolity;"Picea abies """"Barryi""""";D;świerk;"odm.""""Barryi""""";ŚW;ŚW;NA;I;NA;780;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
535;PIC.AB.BI;30106;świerk pospolity;"Picea abies """"Biformis""""";D;świerk;"odm.""""Biformis""""";ŚW;ŚW;NA;I;NA;781;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
536;PIC.AB.CA;30107;świerk pospolity;Picea abies carpathica;D;świerk;odm.karpacka;ŚW;ŚW;NA;I;NA;782;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
537;PIC.AB.CI;30109;świerk pospolity;"Picea abies """"Cincinnata""""";D;świerk;"odm.""""Cincinnata""""";ŚW;ŚW;NA;I;NA;783;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
538;PIC.AB.CL;30110;świerk pospolity;"Picea abies """"Clanbrassiliana""""";D;świerk;"odm.""""Clanbrassiliana""""";ŚW;ŚW;NA;I;NA;784;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
539;PIC.AB.CM;30112;świerk pospolity;"Picea abies """"Compacta""""";D;świerk;"odm.""""Compacta""""";ŚW;ŚW;NA;I;NA;785;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
540;PIC.AB.CO;30111;świerk pospolity;"Picea abies """"Columnaris""""";D;świerk;"odm.""""Columnaris""""";ŚW;ŚW;NA;I;NA;786;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
541;PIC.AB.CU;30113;świerk pospolity;Picea abies;D;świerk;odm.Cupressina;ŚW;ŚW;NA;I;NA;787;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
542;PIC.AB.NI;30114;świerk pospolity;"Picea abies """"Nidiformis""""";D;świerk;"odm.""""Nidiformis""""";ŚW;ŚW;NA;I;NA;788;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
543;PIC.AB.PA;30115;świerk pospolity;"Picea abies """"Parvifolia""""";D;świerk;"odm.""""Parvifolia""""";ŚW;ŚW;NA;I;NA;789;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
544;PIC.AB.PE;30116;świerk pospolity;"Picea abies """"Pendula""""";D;świerk;"odm.""""Pendula""""";ŚW;ŚW;NA;I;NA;790;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
545;PIC.AB.PR;30117;świerk pospolity;"Picea abies """"Procumbens""""";D;świerk;"odm.""""Procumbens""""";ŚW;ŚW;NA;I;NA;791;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
546;PIC.AB.TU;30118;świerk pospolity;"Picea abies """"Tuberculata""""";D;świerk;"odm.""""Tuberculata""""";ŚW;ŚW;NA;I;NA;792;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
547;PIC.AB.VI;30119;świerk pospolity;"Picea abies """"Viminalis""""";D;świerk;"odm.""""Viminalis""""";ŚW;ŚW;NA;I;NA;793;ŚW;ŚW;;NA;15;30;4;ŚW;ŚW;ŚW;ŚW
548;PIN.RH.R;11101;Pinus rhaetica;Pinus rhaetica;D;sosna;;SO;SO;NA;I;NA;794;SO;SO;;NA;15;25;4;SO;SO;SO;SO
549;PK;1311100;pęcherznica kalinolistna;Physocarpus opulifolius;K;pęcherznica;;;;NA;L;NA;795;;;;NA;NA;NA;4;;;;
550;PK.L;1311101;pęcherznica kalinolistna;Physocarpus opulifolius;K;pęcherznica;odm. Luteus;;;NA;L;NA;796;;;;NA;NA;NA;4;;;;
551;PLA.K;630100;platan klonolistny;Platanus acerifolia;D;platan;;DB;BRZ;NA;L;NA;110;BK;BK;BK;100;15;25;4;JW;BK;BK;BK
552;PLE.MA.HE;550402;jaśminowiec Lemoine'a;Philadelphus lemoinei Man.d'H.;K;jaśminowiec;"odm.""""Manteau d'Hermine""""";;;NA;L;NA;797;;;;NA;NA;NA;4;;;;
553;POP.AL.BO;380101;topola biała;Populus alba Bolleana;D;topola;"odm.""""Bolleana""""";OS;OS;NA;L;NA;798;BRZ;OS;;NA;0;10;4;TP;BRZ;BRZ;BRZ
554;POP.CA.MA;380503;topola kanadyjska;Populus canadensis Marilandica;D;topola;"odm.""""Marilandica""""";OS;OS;NA;L;NA;799;BRZ;OS;;NA;0;10;4;TP;BRZ;BRZ;BRZ
555;POP.CA.RO;380502;topola kanadyjska;Populus canadensis Robusta;D;topola;"odm.""""Robusta""""";OS;OS;NA;L;NA;800;BRZ;OS;;NA;0;10;4;TP;BRZ;BRZ;BRZ
556;POP.CA.SE;380501;topola kanadyjska;Populus canadensis Serotina;D;topola;"odm.""""Serotina""""";OS;OS;NA;L;NA;801;BRZ;OS;;NA;0;10;4;TP;BRZ;BRZ;BRZ
557;POP.NI.IT;380401;topola czarna;Populus nigra Italica;D;topola;"odm.""""Italica""""";OS;OS;NA;L;NA;802;BRZ;OS;;NA;0;10;4;TP;BRZ;BRZ;BRZ
558;POP.SI.FA;380601;topola chińska;Populus simonii Fastigiata;D;topola;"odm.""""Fastigiata""""";OS;OS;NA;L;NA;803;BRZ;OS;;NA;0;10;4;TP;BRZ;BRZ;BRZ
559;PRS.J;1260100;pieris japoński;Pieris japonica;K;pieris;;;;NA;L;NA;804;;;;NA;NA;NA;4;;;;
560;PRU.CE.DI;850201;śliwa wiśniowa;Prunus cerasifera divaricata;K;śliwa;odm.kaukaska;;;NA;L;NA;805;;;;NA;NA;NA;4;;;;
561;PRU.CE.N;850204;śliwa wiśśniowa;Prunus cerasifera;K;śliwa;odm. Nigra;;;NA;L;NA;806;;;;NA;NA;NA;4;;;;
562;PRU.CE.PI;850202;śliwa wiśniowa;Prunus cerasifera Atropurpurea;K;śliwa;odm.purpurowa;;;NA;L;NA;807;;;;NA;NA;NA;4;;;;
563;PRU.CE.RH;851101;wiśnia pospolita;Prunus cerasus Rhexii;D;śliwa;"odm.""""Rhexii""""";BRZ;BRZ;NA;L;NA;808;BRZ;BRZ;;NA;10;20;4;BRZ;BRZ;BRZ;BRZ
564;PRU.CE.SP;850203;śliwa wiśniowa;Prunus cerasifera Woodii;K;śliwa;odm.Wooda;;;NA;L;NA;809;;;;NA;NA;NA;4;;;;
565;PRU.CE.UM;851102;wiśnia pospolita;Prunus cerasus Umbraculifera;D;śliwa;odm.kulista;BRZ;BRZ;NA;L;NA;810;BRZ;BRZ;;NA;10;20;4;BRZ;BRZ;BRZ;BRZ
